Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
2023-07-05,12,10669,True,3.995,0.0,1986.514,0.0,0.0,0.0,6.0,75.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
2023-07-05,12,4857,True,10.288,1.25,0.0,0.0,6.0,0.0,33.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-09-29,12,3135,True,17.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-02,10,5368,True,21.5,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-24,17,8284,True,13.292,0.398,1898.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,23.0,0.0,10.0,0.0
2023-07-05,9,6242,True,14.375,0.7,1834.922,18.0,9.0,8.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0
2023-07-05,9,6411,True,12.127,0.0,1988.714,6.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,2.0,3.0,0.0,0.0,0.0,12.0,5.0,12.0,0.0
2022-02-19,10,6100,True,11.8,0.0,1982.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-01-31,9,7914,True,4.459,0.157,2000.973,0.0,0.0,2.0,24.0,12.0,63.0,0.0,22.0,6.0,6.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0
2022-02-18,18,12240,True,14.159,0.15,1939.311,16.0,7.0,28.0,1.0,14.0,20.0,9.0,2.0,11.0,1.0,3.0,0.0,12.0,7.0,5.0,12.0,0.0
2009-05-11,18,6246,True,13.395,0.275,1921.08,26.0,0.0,23.0,2.0,3.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,0.0
2017-10-05,12,9797,True,13.058,0.368,1882.354,4.0,2.0,31.0,0.0,0.0,22.0,4.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2022-02-18,18,8665,True,12.344,0.0,2005.562,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
2018-01-03,13,8477,True,10.904,0.0,1956.955,21.0,0.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,3.0,5.0,12.0,1.0,1.0,0.0,13.0,0.0
2017-08-04,17,14106,True,15.599,0.435,1908.63,36.0,5.0,0.0,7.0,29.0,25.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,7.0,1.0
2022-02-18,17,8937,True,13.269,0.341,1751.981,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-31,19,5718,True,11.296,0.0,1901.732,18.0,0.0,2.0,4.0,23.0,7.0,0.0,3.0,11.0,60.0,4.0,8.0,31.0,14.0,0.0,43.0,0.0
2022-02-18,15,4679,True,21.5,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-12,16,13978,True,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2023-10-22,2,11670,True,21.5,0.0,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-08,14,8309,True,8.677,0.407,1908.858,3.0,5.0,4.0,3.0,1.0,9.0,7.0,32.0,5.0,3.0,1.0,2.0,5.0,7.0,3.0,16.0,0.0
2022-02-18,17,11695,True,12.101,0.25,1885.805,1.0,0.0,0.0,5.0,0.0,0.0,14.0,0.0,0.0,22.0,0.0,2.0,5.0,0.0,25.0,0.0,3.0
2007-06-23,16,9504,True,10.729,0.0,1933.514,0.0,0.0,12.0,0.0,22.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,0.0,1.0,0.0,25.0,0.0
2010-11-12,7,9846,True,10.143,0.0,1992.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
